Date;AAPL;JNJ;NSRGY;SAN;TM
2017-12-04 00:00:00;39,98957443;115,4996414;72,46596527;5,301177502;123,9199982
2017-12-05 00:00:00;39,95188904;116,0480347;72,44054413;5,244696617;123,6800003
2017-12-06 00:00:00;39,80352402;117,202919;73,42359161;5,188215256;122,9700012
2017-12-07 00:00:00;39,87651825;116,3305283;73,01681519;5,22855854;123,3899994
2017-12-08 00:00:00;39,88829803;116,8123932;72,92359161;5,333452702;124,4499969
2017-12-11 00:00:00;40,66548538;117,2694016;72,6354599;5,349590302;123,9300003
2017-12-12 00:00:00;40,43703842;118,4824982;72,93206024;5,365728378;124,25
2017-12-13 00:00:00;40,57128525;118,7234497;73,44902039;5,317316055;124,9199982
2017-12-14 00:00:00;40,55950546;117,693161;72,84732056;5,293108463;125
2017-12-15 00:00:00;40,97165298;118,3661652;72,2286911;5,293108463;124,3399963
2017-12-18 00:00:00;41,54865265;117,8177872;72,13547516;5,349590302;127,3199997
2017-12-19 00:00:00;41,10588074;117,8011398;71,74563599;5,381865501;127,0100021
2017-12-20 00:00:00;41,06113815;117,2860336;71,07614136;5,365728378;127,6299973
2017-12-21 00:00:00;41,21658707;117,202919;71,5337677;5,398003578;128,2799988
2017-12-22 00:00:00;41,21658707;116,4219284;71,54223633;5,333452702;128,3200073
2017-12-26 00:00:00;40,17091751;116,3969421;71,66087341;5,333452702;127,9800034
2017-12-27 00:00:00;40,17798233;116,7958069;72,19478607;5,301177502;128,2299957
2017-12-28 00:00:00;40,2910347;116,7874908;72,55072021;5,285039902;128,2700043
2017-12-29 00:00:00;39,85532761;116,0895767;72,85579681;5,27697134;127,1699982
2018-01-02 00:00:00;40,56893158;115,6824646;72,56764984;5,285039902;128,3699951
2018-01-03 00:00:00;40,56186676;116,7874908;72,2710495;5,268902779;130,1300049
2018-01-04 00:00:00;40,7502861;116,7791901;72,31343079;5,446414471;132,1600037
2018-01-05 00:00:00;41,21422577;117,7430038;72,64393616;5,478691101;133,8600006
2018-01-08 00:00:00;41,06113815;117,8925705;72,44054413;5,462553024;134,7700043
2018-01-09 00:00:00;41,05643463;119,7620544;72,78800964;5,45448494;133,7200012
2018-01-10 00:00:00;41,04701233;119,6207886;72,09307861;5,599721432;136,3999939
2018-01-11 00:00:00;41,28017807;120,302063;71,62699127;5,736890793;136,9100037
2018-01-12 00:00:00;41,70645142;121,1080093;72,11850739;5,785303593;137,1999969
2018-01-16 00:00:00;41,49448013;122,0220184;73,05071259;5,793371677;137,9700012
2018-01-17 00:00:00;42,1798172;122,1217041;73,11850739;5,809509754;140,7200012
2018-01-18 00:00:00;42,21749496;122,0718384;73,09307861;5,801442146;138,6300049
2018-01-19 00:00:00;42,02909088;122,4374084;72,54224396;5,849853516;139,8500061
2018-01-22 00:00:00;41,68524933;123,0855103;72,71173096;5,9870224;139,3999939
2018-01-23 00:00:00;41,69466782;117,84272;73,78799438;5,938610077;139,2799988
2018-01-24 00:00:00;41,03053284;118,0421143;73,7032547;5,9870224;139,0299988
2018-01-25 00:00:00;40,29808426;119,978035;72,92359161;6,067709923;138,1799927
2018-01-26 00:00:00;40,39229202;120,7507782;73,52529144;6,091917515;139,5599976
2018-01-29 00:00:00;39,55623627;119,3798218;72,61003113;6,0192976;139,5299988
2018-01-30 00:00:00;39,3230896;118,3412399;72,85579681;5,98833847;139,6199951
2018-01-31 00:00:00;39,43141937;114,8183746;73,22019958;6,037222385;137,9199982
2018-02-01 00:00:00;39,51383972;116,3388138;73,52529144;6,045369148;138,8000031
2018-02-02 00:00:00;37,79934311;114,3945847;72,2710495;5,833536625;136,6199951
2018-02-05 00:00:00;36,85492706;108,3375244;70,07614899;5,629851818;131,9299927
2018-02-06 00:00:00;38,39517975;109,5339813;70,25411987;5,743916035;138,7599945
2018-02-07 00:00:00;37,57325363;109,1933212;69,73715973;5,670589447;136,8800049
2018-02-08 00:00:00;36,5393486;104,9891205;68,9659729;5,48319912;134,4299927
2018-02-09 00:00:00;36,98628235;107,6229782;69,05072021;5,507641792;136,5700073
2018-02-12 00:00:00;38,47605133;108,2378387;69,72868347;5,605410099;138,7599945
2018-02-13 00:00:00;38,86149597;107,9802628;69,20327759;5,540230274;135,0399933
2018-02-14 00:00:00;39,57800674;107,739296;70,55072784;5,637999535;135,4700012
2018-02-15 00:00:00;40,90696716;109,0354462;69,51682281;5,637999535;135,2799988
2018-02-16 00:00:00;40,77453613;110,6307373;68,9320755;5,686884403;136,1999969
2018-02-20 00:00:00;40,63737869;108,7363358;67,67784119;5,695031166;135,8500061
2018-02-21 00:00:00;40,45293427;107,9386978;67,2964859;5,637999535;134,8000031
2018-02-22 00:00:00;40,79109573;107,9386978;68,28800964;5,66244173;135,2299957
2018-02-23 00:00:00;41,50049591;109,6918488;68,62699127;5,727621078;137,0299988
2018-02-26 00:00:00;42,32104874;110,4360733;69,26257324;5,768357277;138,4299927
2018-02-27 00:00:00;42,18389511;110,1015854;68,44054413;5,703178406;136,0299988
2018-02-28 00:00:00;42,12005234;108,6048126;67,3981781;5,597262383;134,6000061
2018-03-01 00:00:00;41,38225937;106,430687;66,5931015;5,548377514;130,3899994
2018-03-02 00:00:00;41,66839218;107,7184296;66,8981781;5,564673901;130,5899963
2018-03-05 00:00:00;41,81264496;108,5295181;67,78800201;5,548377514;130,9799957
2018-03-06 00:00:00;41,77716827;107,2167282;67,49987793;5,564673901;131,3399963
2018-03-07 00:00:00;41,38935089;107,9023895;66,97444153;5,556525707;129,8200073
2018-03-08 00:00:00;41,84102249;110,4276886;67,56768036;5,515788555;129,5599976
2018-03-09 00:00:00;42,55988312;111,8826752;68,22021484;5,523936272;129,6999969
2018-03-12 00:00:00;42,97134399;110,9043198;68,38123322;5,515788555;130,3399963
2018-03-13 00:00:00;42,55752182;112,3425827;68,05071259;5,48319912;130
2018-03-14 00:00:00;42,19572449;110,645134;68,40665436;5,393577576;130
2018-03-15 00:00:00;42,24537659;111,2638931;68,22868347;5,3528409;130,3899994
2018-03-16 00:00:00;42,09640121;111,782341;68,30496979;5,434314728;129,9100037
2018-03-19 00:00:00;41,45320511;108,9058228;67,7964859;5,409871578;127,8399963
2018-03-20 00:00:00;41,43901443;109,7169571;67,37275696;5,393577576;129,25
2018-03-21 00:00:00;40,5002327;109,7002106;66,56767273;5,344692707;129,2799988
2018-03-22 00:00:00;39,92798233;106,5142975;65,77106476;5,173598289;127,0199966
2018-03-23 00:00:00;39,00337219;104,6077805;65,34733582;5,165450096;124,5
2018-03-26 00:00:00;40,85493469;106,5226746;66,24563599;5,344692707;127,3099976
2018-03-27 00:00:00;39,80736923;106,3721619;65,53377533;5,246924877;128,0399933
2018-03-28 00:00:00;39,36754227;106,5728531;66,88970184;5,271367073;129,3699951
2018-03-29 00:00:00;39,6749382;107,1581802;66,9914093;5,336545467;130,3699951
2018-04-02 00:00:00;39,41482925;104,1562576;66,25411224;5,238776684;126,5899963
2018-04-03 00:00:00;39,81918716;107,3254242;66,07614899;5,263219833;128,3500061
2018-04-04 00:00:00;40,58063507;109,0479813;66,24563599;5,263219833;127,7600021
2018-04-05 00:00:00;40,86203766;109,2988434;66,5337677;5,377283096;127,4000015
2018-04-06 00:00:00;39,81682205;107,1163788;66,9914093;5,312103271;125,3700027
2018-04-09 00:00:00;40,21173096;108,2703247;67,38124084;5,336545467;126,1699982
2018-04-10 00:00:00;40,96843719;108,9141693;68,05071259;5,401724815;128,2599945
2018-04-11 00:00:00;40,77690887;108,3957672;67,62699127;5,360987186;127,8099976
2018-04-12 00:00:00;41,17889023;109,0646896;66,85580444;5,377283096;128,6300049
2018-04-13 00:00:00;41,31840897;109,2235718;67,4659729;5,385430336;128,5299988
2018-04-16 00:00:00;41,57617188;110,1768341;67,83270264;5,466904163;128,8200073
2018-04-17 00:00:00;42,14842606;109,1566849;68,12155151;5,442461491;129,3399963
2018-04-18 00:00:00;42,05384064;106,7986145;67,84146881;5,507641792;129,0700073
2018-04-19 00:00:00;40,86203766;106,6564713;67,67516327;5,540230274;128,4900055
2018-04-20 00:00:00;39,18782425;105,9122467;67,24628448;5,523936272;129,2299957
2018-04-23 00:00:00;39,07431793;106,0544052;67,06248474;5,532083988;129,0700073
2018-04-24 00:00:00;38,53044128;105,5192642;67,00996399;5,328398228;129,4700012
2018-04-25 00:00:00;38,69832611;105,9958878;66,90493774;5,3528409;131,1000061
2018-04-26 00:00:00;38,83311081;107,0411072;67,57013702;5,303955555;131,6100006
2018-04-27 00:00:00;38,38381958;107,2585526;67,85021973;5,320251942;131,0099945
2018-04-30 00:00:00;39,07903671;105,7700882;67,71017456;5,312103271;130,9799957
2018-05-01 00:00:00;39,98708725;105,3687439;67,19377136;5,263219833;130,9700012
2018-05-02 00:00:00;41,75351715;103,2698975;66,60733795;5,315134525;130,1799927
2018-05-03 00:00:00;41,82920074;102,8768845;66,563591;5,265690804;130,1100006
2018-05-04 00:00:00;43,47028732;103,8468704;66,78240204;5,306894302;131,3200073
2018-05-07 00:00:00;43,78480148;103,3451462;67,70142365;5,265690804;131,5099945
2018-05-08 00:00:00;43,99526215;102,5256577;67,10623932;5,249209881;130,8999939
2018-05-09 00:00:00;44,30503464;103,2782516;67,47385406;5,348096848;136,2899933
2018-05-10 00:00:00;44,93876266;104,8168488;67,66641235;5,397540092;138,3899994
2018-05-11 00:00:00;44,76786423;106,3972321;67,7539444;5,422261715;138,0700073
2018-05-14 00:00:00;44,66341019;105,4105301;67,51761627;5,414021015;138,1399994
2018-05-15 00:00:00;44,25748444;104,6328812;67,00121307;5,339855194;136,2200012
2018-05-16 00:00:00;44,67052841;104,8168488;67,15876007;5,19976759;137,3500061
2018-05-17 00:00:00;44,38805008;103,5625534;67,35131836;5,191526413;136,6699982
2018-05-18 00:00:00;44,22662735;103,8886566;67,53513336;5,051438332;136,0399933
2018-05-21 00:00:00;44,53997421;103,4538574;68,02526855;5,010234833;136,4499969
2018-05-22 00:00:00;44,42840958;102,7765121;66,86993408;5,1008811;135,7400055
2018-05-23 00:00:00;44,71325302;103,2280731;66,48480225;4,993754387;134,8300018
2018-05-24 00:00:00;44,66341019;102,2246399;67,13250732;4,952551842;132,4400024
2018-05-25 00:00:00;44,76548004;102,3257446;67,23752594;4,812463284;129,9600067
2018-05-29 00:00:00;44,6040535;100,5819702;67,00121307;4,375715256;126,6999969
2018-05-30 00:00:00;44,50911713;101,9045258;66,721138;4,507563591;127,2300034
2018-05-31 00:00:00;44,35956192;100,7673187;66,23097992;4,499322891;127,9700012
2018-06-01 00:00:00;45,15953827;102,1488266;66,53731537;4,589968681;131,3099976
2018-06-04 00:00:00;45,53697205;102,7300797;66,58108521;4,614690781;134,2799988
2018-06-05 00:00:00;45,88829803;102,3341599;66,28350067;4,54052639;133,4600067
2018-06-06 00:00:00;46,04734421;103,437706;65,96839905;4,672374725;136,1699982
2018-06-07 00:00:00;45,92391586;103,8925934;65,45200348;4,606449604;136,4499969
2018-06-08 00:00:00;45,50610352;104,5075378;65,40823364;4,573488235;136,2100067
2018-06-11 00:00:00;45,39453888;103,3281937;65,95965576;4,721817017;137,1499939
2018-06-12 00:00:00;45,6437912;103,2271042;66,03842163;4,647652149;134,5500031
2018-06-13 00:00:00;45,26873398;103,3029099;66,33601379;4,639412403;135,4100037
2018-06-14 00:00:00;45,29248428;103,1175919;65,40823364;4,581729412;135,4400024
2018-06-15 00:00:00;44,82719421;103,2860565;65,43449402;4,491082191;135,8099976
2018-06-18 00:00:00;44,8034668;102,1993713;64,6467514;4,474601269;136,5200043
2018-06-19 00:00:00;44,07945251;103,2523651;65,07564545;4,474601269;136,1499939
2018-06-20 00:00:00;44,2717247;102,8058929;65,37322998;4,524044037;134,3699951
2018-06-21 00:00:00;44,02484894;102,3088837;64,83056641;4,499322891;132,6600037
2018-06-22 00:00:00;43,89666748;103,4797974;66,37103271;4,524044037;131
2018-06-25 00:00:00;43,24385834;103,2692032;66,222229;4,466360569;128,5700073
2018-06-26 00:00:00;43,78035355;103,0670547;66,34477234;4,458120823;129,2100067
2018-06-27 00:00:00;43,716259;102,4436569;66,16094971;4,342753887;127,1100006
